brand,categories,colorway,deadstock_sold,gender,style_id,thumbnail_url,url
Nike,"['LeBron', 'Ten']",Suede Brown/Suede Brown-Sea Royal-White,107,men,607078-200,"https://stockx.imgix.net/Nike-Lebron-X-10-EXT-Hazelnut-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549859535",lebron-x-ext-hazelnut
Nike,"['LeBron', 'Ten']",University Red/Tourmaline-Team Red,65,men,541100-600,"https://stockx.imgix.net/Nike-Lebron-X-10-Christmas.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-christmas
Nike,"['LeBron', 'Zoom Soldier']",Black/Multi Color/Dark Grey/Gum Yellow,49,men,844378-009,"https://stockx.imgix.net/Nike-Lebron-Zoom-Soldier-10-Black-Gum.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-zoom-soldier-10-black-gum
Nike,"['LeBron', 'Ten']",Total Crimson/Fiberglass-Black-Volt,40,men,579827-800,"https://stockx.imgix.net/Nike-Lebron-X-10-Elite-Total-Crimson.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-elite-total-crimson
Nike,"['LeBron', 'Ten']",White/Metallic Gold-Black,37,men,579834-100,"https://stockx.imgix.net/Nike-Lebron-X-10-Elite-White-Gold-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549859524",lebron-x-elite-white-gold
Nike,"['LeBron', 'Zoom Soldier']",White/Black-Black,35,men,844378-102,"https://stockx.imgix.net/Nike-Lebron-Zoom-Soldier-10-Black-Toe-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551049834",nike-lebron-zoom-soldier-10-black-toe
Nike,"['LeBron', 'Ten']",Tarp Green/Neo Turquoise-Poison Green,33,men,579765-301,"https://stockx.imgix.net/Nike-Lebron-X-10-Low-Reptile.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-low-reptile
Nike,"['LeBron', 'Ten']",White/University Red-Black-Total Crimson,19,men,541100-100,"https://stockx.imgix.net/Nike-Lebron-X-10-Home.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-home
Nike,"['LeBron', 'Ten']",Multi-Color,16,men,628622-900,"https://stockx.imgix.net/Nike-Lebron-X-10-Celebration-Pack.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-celebration-pack
Nike,"['LeBron', 'Zoom Soldier']",Black/Total Orange-Cosmic Purple-Hyper Jade,15,men,844374-085,"https://stockx.imgix.net/Nike-Lebron-Zoom-Soldier-10-Unlimited%20.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-zoom-soldier-10-unlimited
